Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
24-04-2002,175.95,177.5,190.8,177.05,190.05,187.8,184.73,260037
25-04-2002,187.8,191,192.75,184.5,185,184.9,186.22,179226
26-04-2002,184.9,187.9,191.95,178,180,180.15,184.64,102395
29-04-2002,180.15,179.7,184.95,175.05,183.4,183,181.74,101321
30-04-2002,183,183.6,186.9,179.05,180,180.8,182.71,65866
02-05-2002,180.8,185,185,175.05,176,175.95,179.68,87856
03-05-2002,175.95,180,180,171,171.05,171.95,174.46,80555
06-05-2002,171.95,169.5,173.5,165.5,166,166.35,169.04,77099
07-05-2002,166.35,167,174,166.35,166.5,167,169.39,97595
08-05-2002,167,170,170.75,165.55,166.2,166.45,168.5,74176
09-05-2002,166.45,178.9,178.9,167,167.25,168.4,170.7,129714
10-05-2002,168.4,169,169.85,162,162.8,162.8,164.79,79267
13-05-2002,162.8,168,168,157.3,159,158.35,161.02,86914
14-05-2002,158.35,162,162,150.1,150.15,150.95,154.63,109029
15-05-2002,150.95,154,163.75,153,157.95,155.8,157.79,273566
16-05-2002,155.8,158.75,161,151.8,153.75,152.45,154.76,90725
17-05-2002,152.45,154,154,141,145.5,144.3,145.88,84515
20-05-2002,144.3,142,145,125,126,128,132.54,78541
21-05-2002,128,122,134.9,110,126.5,126.65,123.99,249748
22-05-2002,126.65,115.8,133.5,115.8,129,129.3,128.52,126247
23-05-2002,129.3,131,133.5,125,125.9,127.7,129.5,60864
24-05-2002,127.7,130.05,144,130.05,143.15,141.8,139.5,159397
27-05-2002,141.8,138.05,145.9,137.5,139.55,138.7,141.76,84388
28-05-2002,138.7,140,147,133.3,134,136.2,141.28,125267
29-05-2002,136.2,139.25,142.5,133.35,136.3,136.05,137.42,70241
30-05-2002,136.05,137,140.95,133.25,134.7,134.35,137.26,72917
31-05-2002,134.35,138.75,138.95,130.5,138,136.55,134.72,57368
03-06-2002,136.55,139,140.7,133.25,133.8,134.2,137.32,33059
04-06-2002,134.2,134,135.95,132,132,132.55,134.32,27358
05-06-2002,132.55,134.9,139,133.95,137.9,136.6,136.55,45909
06-06-2002,136.6,139,142.5,134.1,139,139.3,138.58,67985
07-06-2002,139.3,138,138,130.65,131,132.95,134.86,31055
10-06-2002,132.95,136,146,134,143.8,143.75,142.82,113904
11-06-2002,143.75,145,153.65,144.1,144.5,145.65,148.64,83510
12-06-2002,145.65,144.5,155,144.5,153,151.85,152.42,123185
13-06-2002,151.85,140,156,140,146.5,146.25,150.53,60258
14-06-2002,146.25,147.5,153,145.6,150,151,149.49,58536
17-06-2002,151,152.5,156,147.15,147.2,148.55,151.85,42677
18-06-2002,148.55,149.6,150.75,145,145,145.45,147.83,26571
