Date,Close,High,Low,Open,Volume
02-07-2021,268.5881042,268.9266869,263.6061949,263.9157579,26458000
06-07-2021,268.5978394,270.2520207,265.3474864,268.9557587,31565600
07-07-2021,270.7937012,271.5289059,268.1044354,270.2810004,23260000
08-07-2021,268.3656311,269.6328732,265.8988398,267.8625839,24618600
09-07-2021,268.8686523,268.975048,266.3341681,266.7211071,23916700
12-07-2021,268.2689209,270.6389408,267.5530527,270.048864,18931700
13-07-2021,271.8093872,273.6183494,268.3365611,268.4622934,26120100
14-07-2021,273.2896118,274.4020729,271.3935599,273.1348303,23113700
15-07-2021,271.8577881,273.2894947,270.6969417,272.7961306,22604200
16-07-2021,271.5869751,274.8276448,270.3390694,272.8639005,26186800
19-07-2021,267.9689941,271.2193167,265.4925494,269.8263129,32935600
20-07-2021,270.2036438,271.7997857,267.2435175,268.9557382,26259700
21-07-2021,272.2157288,272.3318075,268.2398841,269.7973232,24364300
22-07-2021,276.8011169,277.0719773,274.1698898,274.5761655,23384100
23-07-2021,280.2158813,280.5254149,277.1493295,277.9909301,22768100
26-07-2021,279.6161194,280.2352456,277.2848017,279.5677631,23176100
27-07-2021,277.1879578,280.1287174,273.7151312,279.983619,33604100
28-07-2021,276.878418,280.6801444,274.5664081,279.5580007,33566900
29-07-2021,277.1493225,279.200126,276.7430173,276.8977988,18168300
30-07-2021,275.6112061,277.3040901,274.6438437,275.8627297,20944800
02-08-2021,275.5241699,277.4105089,274.479402,277.0138868,16267400
03-08-2021,277.7490845,277.8555097,274.7309185,276.1045861,17879000
04-08-2021,277.1589661,278.2037043,275.3596569,276.8784227,16191300
05-08-2021,280.0707703,280.1771955,276.7624072,277.5169487,13900200
06-08-2021,280.0126953,280.0513981,278.2327521,279.0937188,16589300
09-08-2021,278.9194946,282.0344017,278.416477,280.2931618,16117600
10-08-2021,277.0912781,279.809564,275.8917582,279.3742391,18616600
11-08-2021,277.5845947,279.2387758,276.530144,277.8360888,13955900
12-08-2021,280.3513184,280.5060999,276.9945694,277.2751128,14561300
13-08-2021,283.2920532,283.3404095,279.8578994,280.032047,18249000
16-08-2021,284.9849854,285.1978063,280.5544488,283.6210007,22507600
17-08-2021,283.5145264,283.8531091,281.5798018,282.8470735,20075300
18-08-2021,281.7796631,285.7437457,281.3338032,283.0493314,21813000
19-08-2021,287.6336975,288.3121593,279.7540106,279.8024595,29850500
20-08-2021,294.9900513,296.4244991,288.884013,290.4929123,40817600
23-08-2021,295.2711182,295.9980289,292.5573301,293.9142241,22830200
24-08-2021,293.3035889,296.2403066,292.7026808,295.629697,18175800
25-08-2021,292.7124634,295.2130236,291.171416,294.9319432,20006100
26-08-2021,289.8822632,293.119435,289.7465886,291.7237642,17666100
27-08-2021,290.4928894,291.6074799,287.6918461,289.7853524,22605700
30-08-2021,294.2437439,294.8543536,291.7916331,291.8497836,16348100
31-08-2021,292.5863647,295.125701,292.2180586,295.0481769,26285300
01-09-2021,292.5379333,295.7945087,292.208404,293.5459245,18983800
02-09-2021,291.8788757,294.020831,290.9387367,292.8965685,16285600
03-09-2021,291.8692322,293.2842769,291.0163188,291.7238264,14747900
07-09-2021,290.9387512,291.8207398,289.0197258,291.7432157,17180400
08-09-2021,290.9678345,291.3555143,288.3121966,290.5510794,15046800
09-09-2021,288.098999,292.8384719,287.8566954,291.5591018,19927000
10-09-2021,286.6062927,290.6867054,286.2864651,289.2328842,19633400
13-09-2021,287.8469543,289.3492543,285.0265371,288.389712,23652900
14-09-2021,290.5607605,292.1115093,288.922786,290.3378306,21853400
15-09-2021,295.4358521,295.9204591,292.5282097,293.9238804,28356300
16-09-2021,295.8235779,295.9108036,291.5008906,294.4085333,19550800
17-09-2021,290.6382141,295.1256799,290.3086849,294.8058523,41372500
20-09-2021,285.2398071,289.5237481,280.6069631,287.2073113,38278700
21-09-2021,285.7243347,288.3800017,285.0168273,286.5869496,22364100
22-09-2021,289.388031,290.9775569,285.4433508,287.595008,26626300
23-09-2021,290.3378906,291.6366345,288.3703864,289.6497566,18604600
24-09-2021,290.1342773,290.570406,287.788766,289.0487622,14999000
27-09-2021,285.1138306,287.343012,283.9216861,287.0231842,23571700
28-09-2021,274.791687,281.8281938,274.0454025,280.8783529,43186200
29-09-2021,275.2569275,277.9416411,274.2974146,276.3230694,26353700
30-09-2021,273.2409058,278.9689362,272.9501237,276.9142066,32343600
01-10-2021,280.1998596,281.0527729,272.6302983,273.4347332,30086300
04-10-2021,274.3942871,278.8914563,271.622348,278.5522254,31350700
05-10-2021,279.8703613,281.4598576,275.3053402,275.3053402,24993000
06-10-2021,284.0863647,284.5903751,276.7203604,276.9820376,28002600
07-10-2021,285.7727966,287.5076982,284.8714346,286.0926243,20430500
08-10-2021,285.7727966,287.5076982,284.7163568,287.1006153,17685700
11-10-2021,285.1719666,288.796819,283.7375186,283.902298,19298600
12-10-2021,283.8634949,286.3446812,283.3498125,286.2477538,17974100
13-10-2021,287.1878967,288.1280358,284.4547052,285.8310026,23416300
14-10-2021,293.4296265,293.9336072,288.6610791,289.9985996,27262900
15-10-2021,294.844696,295.0773276,291.2682926,293.0322699,25384800
18-10-2021,297.829834,298.7214945,293.3714428,294.224356,22729300
19-10-2021,298.7409058,299.7779425,297.7619899,298.8572067,17682100
20-10-2021,297.946167,300.165676,296.6861707,299.6907409,16537100
21-10-2021,301.1929932,301.4449687,296.9284273,297.713518,16918100
22-10-2021,299.6422424,301.5128186,298.3240958,300.8440585,17449300
25-10-2021,298.6440125,299.874904,297.0254115,299.8361271,17554500
26-10-2021,300.5629883,302.782497,299.099495,301.4256031,28107300
27-10-2021,313.2209778,316.0607684,306.2716987,306.2716987,52588700
28-10-2021,314.3646851,314.8686659,311.466714,314.3452818,26297900
29-10-2021,321.4107666,321.7790727,313.9284328,314.1513626,34766000
01-11-2021,319.2300415,321.2847707,316.3223992,321.1587681,27073200
02-11-2021,322.8743896,323.1845453,319.8407439,320.141198,26487100
03-11-2021,323.7175903,324.5898773,320.4707164,323.620663,21500100
04-11-2021,326.082428,326.1793553,319.3657807,322.6417294,23992200
05-11-2021,325.7141418,328.3601074,324.1246458,328.0887286,22570100
08-11-2021,326.615509,327.255194,324.1440245,326.9159631,20897000
09-11-2021,325.6075439,328.2922568,324.2312467,326.7318065,21307400
10-11-2021,320.6160889,324.3281963,319.7632051,324.2700458,25500900
11-11-2021,322.1958313,323.4945746,320.3349568,321.0521658,16849800
12-11-2021,326.3538208,326.8481295,323.5140302,323.6400328,23831000
15-11-2021,325.7238464,327.4781219,323.746641,327.1485926,16723000
16-11-2021,329.0579224,330.1822144,325.1810656,325.3458154,20886800
17-11-2021,329.281311,332.2622501,328.1938097,329.1065404,19053400
18-11-2021,331.3688965,332.5146843,327.3393042,328.3685486,22463500
19-11-2021,333.1555176,335.0878029,332.271945,332.6991819,21963400
22-11-2021,329.9707031,339.5252472,329.6988278,334.621742,31031100
23-11-2021,327.8830566,329.6017235,323.8825928,327.2713298,30427600
24-11-2021,328.1064148,328.3491617,324.2224645,326.5237003,21661300
26-11-2021,320.1151733,328.1258208,318.6004351,324.6496983,24217200
29-11-2021,326.8635254,329.1938895,325.0283448,325.2225542,28563500
30-11-2021,320.9987488,327.9801512,319.4451629,325.5915302,42885600
01-12-2021,320.5034485,329.4365428,319.8334946,325.4069517,33337600
02-12-2021,319.9306946,323.814645,318.2897232,320.7171922,30766000
03-12-2021,313.6386719,323.0475428,308.8031436,322.3581204,41779300
06-12-2021,316.7264099,317.9498636,309.9683453,314.5514074,30032600
07-12-2021,325.2031555,326.0575997,320.5229885,322.0183176,31021900
08-12-2021,325.2516785,325.7663006,321.2026476,325.5818107,24761000
09-12-2021,323.4359436,326.7275758,322.4843652,324.7079349,22214200
